OriginalReflexAgent,1,capsuleClassic,13.86,60.99E-06
ReflexAgent,1,capsuleClassic,-209.14,155.11E-06
MinimaxAgent,2,capsuleClassic,-442.14,1518.73E-06
MinimaxAgent,3,capsuleClassic,-201.86,5567.67E-06
MinimaxAgent,4,capsuleClassic,-278.14,19606.02E-06
AlphaBetaAgent,2,capsuleClassic,156.57,1073.73E-06
AlphaBetaAgent,3,capsuleClassic,322.43,3708.44E-06
AlphaBetaAgent,4,capsuleClassic,-306.29,11652.44E-06
RandomExpectimaxAgent,2,capsuleClassic,-321.43,1790.26E-06
RandomExpectimaxAgent,3,capsuleClassic,-264.43,6432.24E-06
RandomExpectimaxAgent,4,capsuleClassic,121.29,24801.38E-06
OriginalReflexAgent,1,contestClassic,38.29,96.06E-06
ReflexAgent,1,contestClassic,418.43,223.03E-06
MinimaxAgent,2,contestClassic,1490.14,2667.64E-06
MinimaxAgent,3,contestClassic,1395.14,13716.63E-06
MinimaxAgent,4,contestClassic,1723.29,67186.85E-06
AlphaBetaAgent,2,contestClassic,1543.57,1809.62E-06
AlphaBetaAgent,3,contestClassic,1318.71,5245.77E-06
AlphaBetaAgent,4,contestClassic,1631.71,18814.26E-06
RandomExpectimaxAgent,2,contestClassic,1362.29,2837.27E-06
RandomExpectimaxAgent,3,contestClassic,1460.29,12860.63E-06
RandomExpectimaxAgent,4,contestClassic,1550.86,64408.78E-06
OriginalReflexAgent,1,mediumClassic,309.14,96.87E-06
ReflexAgent,1,mediumClassic,245.57,355.48E-06
MinimaxAgent,2,mediumClassic,1382.14,3182.26E-06
MinimaxAgent,3,mediumClassic,1307.43,15234.73E-06
MinimaxAgent,4,mediumClassic,1716.57,87809.52E-06
AlphaBetaAgent,2,mediumClassic,1608.86,1832.08E-06
AlphaBetaAgent,3,mediumClassic,1552.00,6822.89E-06
AlphaBetaAgent,4,mediumClassic,1280.43,19579.05E-06
RandomExpectimaxAgent,2,mediumClassic,1571.00,3184.08E-06
RandomExpectimaxAgent,3,mediumClassic,1770.43,13714.79E-06
RandomExpectimaxAgent,4,mediumClassic,1564.43,91015.42E-06
OriginalReflexAgent,1,minimaxClassic,226.43,36.78E-06
ReflexAgent,1,minimaxClassic,-61.71,17.84E-06
MinimaxAgent,2,minimaxClassic,514.86,1069.16E-06
MinimaxAgent,3,minimaxClassic,509.71,2801.75E-06
MinimaxAgent,4,minimaxClassic,-63.86,7435.90E-06
AlphaBetaAgent,2,minimaxClassic,-61.14,930.34E-06
AlphaBetaAgent,3,minimaxClassic,512.86,1785.52E-06
AlphaBetaAgent,4,minimaxClassic,224.14,3161.33E-06
RandomExpectimaxAgent,2,minimaxClassic,371.86,1090.71E-06
RandomExpectimaxAgent,3,minimaxClassic,364.71,2768.03E-06
RandomExpectimaxAgent,4,minimaxClassic,371.29,7382.60E-06
OriginalReflexAgent,1,openClassic,334.71,130.38E-06
ReflexAgent,1,openClassic,1233.71,405.51E-06
MinimaxAgent,2,openClassic,1244.86,11799.21E-06
MinimaxAgent,3,openClassic,1220.00,124126.46E-06
