OriginalReflexAgent,1,minimaxClassic,226.43,36.78E-06
ReflexAgent,1,minimaxClassic,-61.71,17.84E-06
MinimaxAgent,2,minimaxClassic,514.86,1069.16E-06
MinimaxAgent,3,minimaxClassic,509.71,2801.75E-06
MinimaxAgent,4,minimaxClassic,-63.86,7435.90E-06
AlphaBetaAgent,2,minimaxClassic,-61.14,930.34E-06
AlphaBetaAgent,3,minimaxClassic,512.86,1785.52E-06
AlphaBetaAgent,4,minimaxClassic,224.14,3161.33E-06
RandomExpectimaxAgent,2,minimaxClassic,371.86,1090.71E-06
RandomExpectimaxAgent,3,minimaxClassic,364.71,2768.03E-06
RandomExpectimaxAgent,4,minimaxClassic,371.29,7382.60E-06

